user_id,product_id,event_time,event_type,price,category,rating,purchase_count,activity_events,first_event,last_event,popularity_count,avg_price,avg_rating
2078,5,2019-10-12 14:00:00,cart,695.0,jewelery,4.6,5,5,2019-10-12 14:00:00,2019-10-25 16:00:00,1438,695.0,4.6
540,4,2019-10-30 11:00:00,view,15.99,men's clothing,2.1,3,3,2019-10-18 02:00:00,2019-10-30 11:00:00,1449,15.990000000000002,2.1
2406,1,2019-10-23 16:00:00,purchase,109.95,men's clothing,3.9,4,4,2019-10-15 06:00:00,2019-10-26 01:00:00,1465,109.95,3.9
1763,7,2019-10-19 13:00:00,view,9.99,jewelery,3.0,4,4,2019-10-08 21:00:00,2019-10-19 13:00:00,1486,9.99,3.0
3640,16,2019-10-05 20:00:00,view,29.95,women's clothing,2.9,6,6,2019-10-03 22:00:00,2019-10-28 14:00:00,1459,29.949999999999996,2.8999999999999995
1153,4,2019-10-05 20:00:00,cart,15.99,men's clothing,2.1,6,6,2019-10-05 20:00:00,2019-10-24 20:00:00,1449,15.990000000000002,2.1
2392,18,2019-10-02 19:00:00,cart,9.85,women's clothing,4.7,7,7,2019-10-02 19:00:00,2019-10-25 02:00:00,1461,9.85,4.7
3388,3,2019-10-27 20:00:00,view,55.99,men's clothing,4.7,8,8,2019-10-07 12:00:00,2019-10-28 16:00:00,1510,55.99000000000001,4.7
432,17,2019-10-19 15:00:00,cart,39.99,women's clothing,3.8,9,9,2019-10-04 12:00:00,2019-10-29 11:00:00,1520,39.99,3.8
28,18,2019-10-22 22:00:00,view,9.85,women's clothing,4.7,3,3,2019-10-02 05:00:00,2019-10-24 11:00:00,1461,9.85,4.7
183,12,2019-10-01 15:00:00,view,114.0,electronics,4.8,9,9,2019-10-01 15:00:00,2019-10-25 10:00:00,1509,114.0,4.8
2136,5,2019-10-31 01:00:00,cart,695.0,jewelery,4.6,9,9,2019-10-03 15:00:00,2019-10-31 01:00:00,1438,695.0,4.6
4895,13,2019-10-26 19:00:00,purchase,599.0,electronics,2.9,5,5,2019-10-15 18:00:00,2019-10-29 07:00:00,1531,599.0,2.9
3988,9,2019-10-07 13:00:00,cart,64.0,electronics,3.3,9,9,2019-10-03 03:00:00,2019-10-30 07:00:00,1500,64.0,3.3
1467,4,2019-10-06 15:00:00,view,15.99,men's clothing,2.1,10,10,2019-10-02 11:00:00,2019-10-24 03:00:00,1449,15.990000000000002,2.1
3868,12,2019-10-06 16:00:00,cart,114.0,electronics,4.8,4,4,2019-10-06 16:00:00,2019-10-25 14:00:00,1509,114.0,4.8
1870,14,2019-10-10 10:00:00,view,999.99,electronics,2.2,9,9,2019-10-07 15:00:00,2019-10-25 18:00:00,1521,999.99,2.2
2474,10,2019-10-17 06:00:00,view,109.0,electronics,2.9,2,2,2019-10-17 06:00:00,2019-10-20 10:00:00,1560,109.0,2.9
4800,16,2019-10-14 09:00:00,cart,29.95,women's clothing,2.9,4,4,2019-10-02 19:00:00,2019-10-26 15:00:00,1459,29.949999999999996,2.8999999999999995
3964,13,2019-10-10 00:00:00,view,599.0,electronics,2.9,8,8,2019-10-05 19:00:00,2019-10-26 16:00:00,1531,599.0,2.9
666,11,2019-10-19 23:00:00,purchase,109.0,electronics,4.8,9,9,2019-10-03 14:00:00,2019-10-30 15:00:00,1511,109.0,4.8
3968,5,2019-10-05 07:00:00,view,695.0,jewelery,4.6,6,6,2019-10-05 07:00:00,2019-10-28 13:00:00,1438,695.0,4.6
236,8,2019-10-10 01:00:00,view,10.99,jewelery,1.9,6,6,2019-10-04 23:00:00,2019-10-22 01:00:00,1506,10.989999999999998,1.9000000000000001
1444,10,2019-10-12 08:00:00,cart,109.0,electronics,2.9,9,9,2019-10-01 15:00:00,2019-10-31 09:00:00,1560,109.0,2.9
3419,7,2019-10-15 03:00:00,cart,9.99,jewelery,3.0,2,2,2019-10-15 03:00:00,2019-10-20 07:00:00,1486,9.99,3.0
924,8,2019-10-25 08:00:00,view,10.99,jewelery,1.9,4,4,2019-10-08 03:00:00,2019-10-28 21:00:00,1506,10.989999999999998,1.9000000000000001
3680,18,2019-10-07 04:00:00,view,9.85,women's clothing,4.7,5,5,2019-10-07 01:00:00,2019-10-29 11:00:00,1461,9.85,4.7
411,5,2019-10-16 22:00:00,cart,695.0,jewelery,4.6,11,11,2019-10-01 00:00:00,2019-10-28 08:00:00,1438,695.0,4.6
267,3,2019-10-19 08:00:00,view,55.99,men's clothing,4.7,9,9,2019-10-03 10:00:00,2019-10-19 08:00:00,1510,55.99000000000001,4.7
