event_time,event_type,product_id,user_id,price,category
2019-10-12 14:00:00,cart,4,2078,170.39,Home
2019-10-30 11:00:00,view,3,540,274.73,Electronics
2019-10-23 16:00:00,purchase,20,2406,296.23,Clothing
2019-10-19 13:00:00,view,6,1763,29.7,Home
2019-10-05 20:00:00,view,15,3640,262.76,Home
2019-10-05 20:00:00,cart,3,1153,71.86,Clothing
2019-10-02 19:00:00,cart,17,2392,54.7,Books
2019-10-27 20:00:00,view,2,3388,236.5,Electronics
2019-10-19 15:00:00,cart,16,432,193.58,Electronics
2019-10-22 22:00:00,view,17,28,27.34,Clothing
2019-10-01 15:00:00,view,11,183,72.43,Books
2019-10-31 01:00:00,cart,4,2136,216.48,Home
2019-10-26 19:00:00,purchase,12,4895,13.1,Electronics
2019-10-07 13:00:00,cart,8,3988,92.65,Clothing
2019-10-06 15:00:00,view,3,1467,140.87,Electronics
2019-10-06 16:00:00,cart,11,3868,274.65,Books
2019-10-10 10:00:00,view,13,1870,256.61,Clothing
2019-10-17 06:00:00,view,9,2474,72.9,Electronics
2019-10-14 09:00:00,cart,15,4800,98.76,Clothing
2019-10-10 00:00:00,view,12,3964,160.33,Clothing
2019-10-19 23:00:00,purchase,10,666,136.5,Electronics
2019-10-05 07:00:00,view,4,3968,233.09,Books
2019-10-10 01:00:00,view,7,236,285.86,Books
2019-10-12 08:00:00,cart,9,1444,190.25,Clothing
2019-10-15 03:00:00,cart,6,3419,42.52,Electronics
2019-10-25 08:00:00,view,7,924,138.07,Electronics
2019-10-07 04:00:00,view,17,3680,168.68,Electronics
2019-10-16 22:00:00,cart,4,411,287.0,Books
2019-10-19 08:00:00,view,2,267,110.08,Home
2019-10-02 10:00:00,view,17,3272,204.17,Home
2019-10-19 20:00:00,cart,7,3000,13.27,Electronics
2019-10-06 06:00:00,view,11,2737,136.64,Clothing
2019-10-03 00:00:00,purchase,20,2411,21.74,Clothing
2019-10-30 09:00:00,cart,18,2372,78.74,Home
2019-10-30 22:00:00,purchase,7,1145,146.09,Home
2019-10-26 01:00:00,view,18,3276,178.59,Books
2019-10-10 10:00:00,purchase,19,4768,264.23,Electronics
2019-10-04 00:00:00,view,14,2235,63.59,Electronics
2019-10-22 05:00:00,view,8,4851,99.5,Books
2019-10-14 15:00:00,view,7,921,171.59,Electronics
2019-10-04 18:00:00,view,1,1752,71.67,Home
2019-10-16 08:00:00,view,6,4180,273.18,Clothing
2019-10-02 01:00:00,view,4,4402,263.44,Books
2019-10-29 04:00:00,view,16,4330,267.19,Electronics
2019-10-09 00:00:00,view,15,1031,218.88,Books
2019-10-21 12:00:00,cart,18,4723,298.91,Electronics
2019-10-10 15:00:00,view,18,4614,249.6,Electronics
2019-10-17 02:00:00,cart,8,4307,153.84,Electronics
2019-10-17 22:00:00,view,10,1588,224.24,Home
2019-10-06 17:00:00,purchase,5,2795,37.8,Books
2019-10-31 01:00:00,view,7,623,276.23,Electronics
2019-10-25 00:00:00,purchase,17,4773,295.41,Home
2019-10-30 02:00:00,view,6,1879,258.53,Home
2019-10-28 17:00:00,purchase,11,4117,20.32,Electronics
2019-10-19 12:00:00,view,10,1007,57.91,Home
2019-10-29 13:00:00,cart,7,3725,40.6,Home
2019-10-03 17:00:00,cart,7,4034,133.44,Clothing
2019-10-07 01:00:00,view,10,2302,21.06,Home
2019-10-02 09:00:00,view,13,2851,283.57,Home
2019-10-11 02:00:00,cart,3,2928,179.66,Books
2019-10-13 01:00:00,view,9,2146,174.58,Clothing
2019-10-09 09:00:00,view,5,233,139.34,Books
2019-10-26 16:00:00,cart,16,4554,107.98,Clothing
2019-10-12 01:00:00,view,11,101,150.44,Books
2019-10-09 17:00:00,cart,18,3565,160.08,Home
2019-10-17 19:00:00,view,15,738,211.78,Books
2019-10-05 08:00:00,view,5,3610,57.92,Electronics
2019-10-25 20:00:00,view,8,4863,176.82,Books
2019-10-03 07:00:00,cart,8,2855,177.95,Books
2019-10-31 14:00:00,purchase,19,3653,116.43,Electronics
2019-10-24 22:00:00,view,5,1862,289.64,Clothing
2019-10-07 03:00:00,view,4,3936,226.08,Electronics
2019-10-01 04:00:00,view,20,4794,216.12,Clothing
2019-10-26 06:00:00,cart,18,3958,263.21,Electronics
2019-10-22 21:00:00,view,12,2689,108.28,Home
2019-10-23 14:00:00,view,1,2223,71.67,Electronics
2019-10-24 21:00:00,view,8,849,137.1,Clothing
2019-10-03 07:00:00,view,9,2623,183.29,Books
2019-10-12 02:00:00,view,13,914,171.7,Home
2019-10-04 14:00:00,view,1,26,73.92,Books
